vessel_type,horizon_days,arima_mae,arima_rmse,arima_r2
HSI,7,100.85038821817234,134.39164161038724,-0.6882575842024361
HSI,30,105.94038686335163,139.81344987319713,-0.9070378923556608
HSI,60,112.89804884962648,145.72691212528716,-1.0275998434468097
HSI,90,121.04297697894351,153.3041128363165,-1.1008935840264087
SI,7,153.68908402531608,211.84274499447525,-0.36915082511084796
SI,30,155.29317261914304,211.02568886164943,-0.4714799374456706
SI,60,169.34576968395433,225.91141994551094,-0.5012858292578648
SI,90,184.04158442800477,237.01592731147807,-0.5864544211409346
PI,7,342.85496716838423,431.2978299543825,-0.8117011771925935
PI,30,341.0620693461122,422.20400125370185,-0.8206749102303992
PI,60,344.4573079322991,430.2311987250354,-0.780447528722009
PI,90,345.9573693524556,442.45724991062724,-0.727426982206258
CI,7,910.2083712954777,1114.379843868424,-0.30278704287136504
CI,30,948.4641829187354,1143.2849981523166,-0.3452058570106509
CI,60,948.2722285785434,1153.683647114755,-0.3810126867744197
CI,90,953.2955633411095,1146.9882460982271,-0.37342284097579315
