Date,HSI,SI,PI,CI,DTI,CTI
2012-08-01,570,1047,954,1181,642,
2012-08-02,558,1032,931,1178,638,
2012-08-03,552,1023,910,1200,634,
2012-08-06,544,1010,890,1214,626,
2012-08-07,539,995,868,1237,623,
2012-08-08,538,982,840,1204,619,
2012-08-09,535,966,823,1192,615,
2012-08-10,531,946,814,1169,613,
2012-08-13,523,906,804,1158,612,
2012-08-14,512,886,803,1147,608,
2012-08-15,506,877,801,1120,604,
2012-08-16,502,865,801,1105,604,
2012-08-17,496,856,806,1095,606,
2012-08-20,490,847,819,1087,608,
2012-08-21,485,841,833,1082,610,
2012-08-22,481,838,843,1091,614,
2012-08-23,477,833,840,1103,617,
2012-08-24,474,833,828,1124,617,
2012-08-28,472,845,812,1182,618,
2012-08-29,466,853,788,1177,620,
2012-08-30,463,857,758,1169,622,
2012-08-31,459,858,735,1172,626,
2012-09-03,458,855,714,1180,627,
2012-09-04,456,857,686,1186,628,
2012-09-05,455,852,647,1188,626,
2012-09-06,457,849,617,1186,628,
2012-09-07,458,845,599,1186,631,
2012-09-10,461,837,582,1188,634,
2012-09-11,466,832,566,1187,637,
2012-09-12,471,827,545,1186,635,
2012-09-13,475,821,527,1198,634,
2012-09-14,477,825,502,1204,633,
2012-09-17,479,828,483,1219,634,
2012-09-18,480,834,474,1326,635,
2012-09-19,480,839,468,1421,637,
2012-09-20,482,843,468,1531,642,
2012-09-21,484,845,467,1584,643,
2012-09-24,486,850,461,1578,642,
2012-09-25,483,847,441,1568,640,
2012-09-26,479,847,426,1549,638,
2012-09-27,476,847,418,1548,640,
2012-09-28,472,844,425,1621,646,
2012-10-01,467,836,439,1660,649,
2012-10-02,454,830,463,1676,652,
2012-10-03,448,825,496,1738,656,
2012-10-04,445,818,544,1873,660,
2012-10-05,444,810,598,1932,664,
2012-10-08,444,802,647,1921,664,
2012-10-09,442,795,712,1829,662,
2012-10-10,442,791,784,1775,662,
2012-10-11,444,789,843,1833,663,
2012-10-12,444,787,871,1914,665,
2012-10-15,444,783,885,1960,667,
2012-10-16,443,776,904,2103,668,
2012-10-17,443,768,904,2162,668,
2012-10-18,444,754,895,2135,670,
2012-10-19,445,746,879,2217,672,
2012-10-22,445,740,861,2332,676,
2012-10-23,442,732,843,2587,680,
2012-10-24,440,721,825,2530,681,
2012-10-25,437,716,811,2432,683,
2012-10-26,434,712,804,2451,681,
2012-10-29,432,706,799,2460,678,
2012-10-30,430,699,792,2458,675,
2012-10-31,429,693,782,2419,672,
2012-11-01,426,689,770,2355,674,
2012-11-02,422,678,766,2304,672,
2012-11-05,419,671,757,2261,667,
2012-11-06,416,669,747,2186,659,
2012-11-07,412,662,737,2098,655,
2012-11-08,409,654,726,2119,662,
2012-11-09,407,647,722,2203,667,
2012-11-12,405,644,720,2283,680,
2012-11-13,405,649,732,2327,687,
2012-11-14,402,652,774,2375,700,
2012-11-15,403,653,846,2350,713,
2012-11-16,405,655,886,2347,715,
2012-11-19,407,664,902,2369,715,
2012-11-20,409,674,933,2367,723,
2012-11-21,416,687,963,2335,723,
2012-11-22,424,695,991,2318,725,
2012-11-23,431,706,1013,2288,723,
2012-11-26,434,716,1021,2277,723,
2012-11-27,438,724,1023,2275,721,
2012-11-28,442,732,1009,2275,719,
2012-11-29,446,742,994,2241,708,
2012-11-30,448,751,980,2199,705,
2012-12-03,448,760,973,2166,705,
2012-12-04,447,766,962,2095,703,
2012-12-05,446,772,949,2000,701,
2012-12-06,446,771,940,1897,702,
2012-12-07,447,768,936,1832,706,
2012-12-10,447,765,928,1762,707,
2012-12-11,447,760,914,1652,711,
2012-12-12,444,751,894,1446,724,
2012-12-13,443,751,871,1407,730,
2012-12-14,443,748,839,1440,741,
2012-12-17,444,746,815,1403,746,
2012-12-18,444,745,793,1315,754,
2012-12-19,444,742,765,1233,774,
2012-12-20,445,738,734,1226,779,
2012-12-21,446,738,710,1228,778,
2012-12-24,447,735,699,1235,774,
2013-01-02,446,732,685,1237,764,
2013-01-03,447,737,675,1254,696,
2013-01-04,446,739,670,1285,689,
2013-01-07,443,739,670,1319,679,
2013-01-08,442,739,682,1386,671,
2013-01-09,443,740,717,1384,663,
2013-01-10,443,741,754,1367,654,
2013-01-11,448,743,772,1367,646,
2013-01-14,451,745,774,1370,641,
2013-01-15,454,743,768,1365,637,
2013-01-16,457,740,754,1431,633,
2013-01-17,464,738,743,1573,631,
2013-01-18,470,735,740,1605,630,
2013-01-21,474,730,736,1604,630,
2013-01-22,477,728,729,1577,633,
2013-01-23,478,721,727,1564,632,
2013-01-24,478,713,723,1541,636,
2013-01-25,475,712,718,1520,647,
