Date,HSI,SI,PI,CI,DTI,HSI_target_7d,HSI_target_30d,HSI_target_60d,HSI_target_90d,SI_target_7d,SI_target_30d,SI_target_60d,SI_target_90d,PI_target_7d,PI_target_30d,PI_target_60d,PI_target_90d,CI_target_7d,CI_target_30d,CI_target_60d,CI_target_90d
2012-08-01,570,1047,954,1181,642,538.0,459.0,467.0,430.0,982.0,858.0,836.0,699.0,840.0,735.0,439.0,792.0,1204.0,1172.0,1660.0,2458.0
2012-08-02,558,1032,931,1178,638,535.0,458.0,467.0,429.0,966.0,855.0,836.0,693.0,823.0,714.0,439.0,782.0,1192.0,1180.0,1660.0,2419.0
2012-08-03,552,1023,910,1200,634,531.0,458.0,454.0,426.0,946.0,855.0,830.0,689.0,814.0,714.0,463.0,770.0,1169.0,1180.0,1676.0,2355.0
2012-08-06,544,1010,890,1214,626,523.0,455.0,444.0,419.0,906.0,852.0,810.0,671.0,804.0,647.0,598.0,757.0,1158.0,1188.0,1932.0,2261.0
2012-08-07,539,995,868,1237,623,512.0,457.0,444.0,419.0,886.0,849.0,802.0,671.0,803.0,617.0,647.0,757.0,1147.0,1186.0,1921.0,2261.0
2012-08-08,538,982,840,1204,619,506.0,458.0,444.0,416.0,877.0,845.0,802.0,669.0,801.0,599.0,647.0,747.0,1120.0,1186.0,1921.0,2186.0
2012-08-09,535,966,823,1192,615,502.0,461.0,444.0,412.0,865.0,837.0,802.0,662.0,801.0,582.0,647.0,737.0,1105.0,1188.0,1921.0,2098.0
2012-08-10,531,946,814,1169,613,496.0,461.0,442.0,409.0,856.0,837.0,795.0,654.0,806.0,582.0,712.0,726.0,1095.0,1188.0,1829.0,2119.0
2012-08-13,523,906,804,1158,612,490.0,471.0,444.0,405.0,847.0,827.0,787.0,644.0,819.0,545.0,871.0,720.0,1087.0,1186.0,1914.0,2283.0
2012-08-14,512,886,803,1147,608,485.0,475.0,444.0,405.0,841.0,821.0,783.0,644.0,833.0,527.0,885.0,720.0,1082.0,1198.0,1960.0,2283.0
2012-08-15,506,877,801,1120,604,481.0,477.0,444.0,405.0,838.0,825.0,783.0,649.0,843.0,502.0,885.0,732.0,1091.0,1204.0,1960.0,2327.0
2012-08-16,502,865,801,1105,604,477.0,479.0,444.0,402.0,833.0,828.0,783.0,652.0,840.0,483.0,885.0,774.0,1103.0,1219.0,1960.0,2375.0
2012-08-17,496,856,806,1095,606,474.0,479.0,443.0,403.0,833.0,828.0,776.0,653.0,828.0,483.0,904.0,846.0,1124.0,1219.0,2103.0,2350.0
2012-08-20,490,847,819,1087,608,472.0,480.0,445.0,407.0,845.0,839.0,746.0,664.0,812.0,468.0,879.0,902.0,1182.0,1421.0,2217.0,2369.0
2012-08-21,485,841,833,1082,610,472.0,482.0,445.0,407.0,845.0,843.0,740.0,664.0,812.0,468.0,861.0,902.0,1182.0,1531.0,2332.0,2369.0
2012-08-22,481,838,843,1091,614,466.0,484.0,445.0,409.0,853.0,845.0,740.0,674.0,788.0,467.0,861.0,933.0,1177.0,1584.0,2332.0,2367.0
2012-08-23,477,833,840,1103,617,463.0,486.0,445.0,416.0,857.0,850.0,740.0,687.0,758.0,461.0,861.0,963.0,1169.0,1578.0,2332.0,2335.0
2012-08-24,474,833,828,1124,617,459.0,486.0,442.0,424.0,858.0,850.0,732.0,695.0,735.0,461.0,843.0,991.0,1172.0,1578.0,2587.0,2318.0
2012-08-28,472,845,812,1182,618,456.0,476.0,432.0,434.0,857.0,847.0,706.0,716.0,686.0,418.0,799.0,1021.0,1186.0,1548.0,2460.0,2277.0
2012-08-29,466,853,788,1177,620,455.0,472.0,432.0,438.0,852.0,844.0,706.0,724.0,647.0,425.0,799.0,1023.0,1188.0,1621.0,2460.0,2275.0
2012-08-30,463,857,758,1169,622,457.0,467.0,432.0,442.0,849.0,836.0,706.0,732.0,617.0,439.0,799.0,1009.0,1186.0,1660.0,2460.0,2275.0
2012-08-31,459,858,735,1172,626,458.0,467.0,430.0,446.0,845.0,836.0,699.0,742.0,599.0,439.0,792.0,994.0,1186.0,1660.0,2458.0,2241.0
2012-09-03,458,855,714,1180,627,461.0,448.0,422.0,448.0,837.0,825.0,678.0,760.0,582.0,496.0,766.0,973.0,1188.0,1738.0,2304.0,2166.0
2012-09-04,456,857,686,1186,628,466.0,445.0,419.0,448.0,832.0,818.0,671.0,760.0,566.0,544.0,757.0,973.0,1187.0,1873.0,2261.0,2166.0
2012-09-05,455,852,647,1188,626,471.0,444.0,419.0,447.0,827.0,810.0,671.0,766.0,545.0,598.0,757.0,962.0,1186.0,1932.0,2261.0,2095.0
2012-09-06,457,849,617,1186,628,475.0,444.0,419.0,446.0,821.0,802.0,671.0,772.0,527.0,647.0,757.0,949.0,1198.0,1921.0,2261.0,2000.0
2012-09-07,458,845,599,1186,631,477.0,444.0,416.0,446.0,825.0,802.0,669.0,771.0,502.0,647.0,747.0,940.0,1204.0,1921.0,2186.0,1897.0
2012-09-10,461,837,582,1188,634,479.0,442.0,407.0,447.0,828.0,791.0,647.0,765.0,483.0,784.0,722.0,928.0,1219.0,1775.0,2203.0,1762.0
