date,vessel_type,freight_index
2012-08-01,Capesize,1181
2012-08-01,Handysize,570
2012-08-01,Panamax,954
2012-08-01,Supramax,1047
2012-08-02,Capesize,1178
2012-08-02,Handysize,558
2012-08-02,Panamax,931
2012-08-02,Supramax,1032
2012-08-03,Capesize,1200
2012-08-03,Handysize,552
2012-08-03,Panamax,910
2012-08-03,Supramax,1023
2012-08-06,Capesize,1214
2012-08-06,Handysize,544
2012-08-06,Panamax,890
2012-08-06,Supramax,1010
2012-08-07,Capesize,1237
2012-08-07,Handysize,539
2012-08-07,Panamax,868
2012-08-07,Supramax,995
2012-08-08,Capesize,1204
2012-08-08,Handysize,538
2012-08-08,Panamax,840
2012-08-08,Supramax,982
2012-08-09,Capesize,1192
2012-08-09,Handysize,535
2012-08-09,Panamax,823
2012-08-09,Supramax,966
2012-08-10,Capesize,1169
2012-08-10,Handysize,531
2012-08-10,Panamax,814
2012-08-10,Supramax,946
2012-08-13,Capesize,1158
2012-08-13,Handysize,523
2012-08-13,Panamax,804
2012-08-13,Supramax,906
2012-08-14,Capesize,1147
2012-08-14,Handysize,512
2012-08-14,Panamax,803
2012-08-14,Supramax,886
2012-08-15,Capesize,1120
2012-08-15,Handysize,506
2012-08-15,Panamax,801
2012-08-15,Supramax,877
2012-08-16,Capesize,1105
2012-08-16,Handysize,502
2012-08-16,Panamax,801
2012-08-16,Supramax,865
2012-08-17,Capesize,1095
2012-08-17,Handysize,496
2012-08-17,Panamax,806
2012-08-17,Supramax,856
2012-08-20,Capesize,1087
2012-08-20,Handysize,490
2012-08-20,Panamax,819
2012-08-20,Supramax,847
2012-08-21,Capesize,1082
2012-08-21,Handysize,485
2012-08-21,Panamax,833
2012-08-21,Supramax,841
2012-08-22,Capesize,1091
2012-08-22,Handysize,481
2012-08-22,Panamax,843
2012-08-22,Supramax,838
2012-08-23,Capesize,1103
2012-08-23,Handysize,477
2012-08-23,Panamax,840
2012-08-23,Supramax,833
2012-08-24,Capesize,1124
2012-08-24,Handysize,474
2012-08-24,Panamax,828
2012-08-24,Supramax,833
2012-08-28,Capesize,1182
2012-08-28,Handysize,472
2012-08-28,Panamax,812
2012-08-28,Supramax,845
2012-08-29,Capesize,1177
2012-08-29,Handysize,466
2012-08-29,Panamax,788
2012-08-29,Supramax,853
2012-08-30,Capesize,1169
2012-08-30,Handysize,463
2012-08-30,Panamax,758
2012-08-30,Supramax,857
2012-08-31,Capesize,1172
2012-08-31,Handysize,459
2012-08-31,Panamax,735
2012-08-31,Supramax,858
2012-09-03,Capesize,1180
2012-09-03,Handysize,458
2012-09-03,Panamax,714
2012-09-03,Supramax,855
2012-09-04,Capesize,1186
2012-09-04,Handysize,456
2012-09-04,Panamax,686
2012-09-04,Supramax,857
2012-09-05,Capesize,1188
2012-09-05,Handysize,455
2012-09-05,Panamax,647
2012-09-05,Supramax,852
2012-09-06,Capesize,1186
2012-09-06,Handysize,457
2012-09-06,Panamax,617
2012-09-06,Supramax,849
2012-09-07,Capesize,1186
2012-09-07,Handysize,458
2012-09-07,Panamax,599
2012-09-07,Supramax,845
2012-09-10,Capesize,1188
2012-09-10,Handysize,461
2012-09-10,Panamax,582
2012-09-10,Supramax,837
2012-09-11,Capesize,1187
2012-09-11,Handysize,466
2012-09-11,Panamax,566
2012-09-11,Supramax,832
2012-09-12,Capesize,1186
2012-09-12,Handysize,471
2012-09-12,Panamax,545
2012-09-12,Supramax,827
2012-09-13,Capesize,1198
2012-09-13,Handysize,475
2012-09-13,Panamax,527
2012-09-13,Supramax,821
2012-09-14,Capesize,1204
2012-09-14,Handysize,477
2012-09-14,Panamax,502
2012-09-14,Supramax,825
2012-09-17,Capesize,1219
2012-09-17,Handysize,479
2012-09-17,Panamax,483
2012-09-17,Supramax,828
2012-09-18,Capesize,1326
2012-09-18,Handysize,480
2012-09-18,Panamax,474
2012-09-18,Supramax,834
2012-09-19,Capesize,1421
2012-09-19,Handysize,480
2012-09-19,Panamax,468
2012-09-19,Supramax,839
2012-09-20,Capesize,1531
2012-09-20,Handysize,482
2012-09-20,Panamax,468
2012-09-20,Supramax,843
2012-09-21,Capesize,1584
2012-09-21,Handysize,484
2012-09-21,Panamax,467
2012-09-21,Supramax,845
2012-09-24,Capesize,1578
2012-09-24,Handysize,486
2012-09-24,Panamax,461
2012-09-24,Supramax,850
2012-09-25,Capesize,1568
2012-09-25,Handysize,483
2012-09-25,Panamax,441
2012-09-25,Supramax,847
2012-09-26,Capesize,1549
2012-09-26,Handysize,479
2012-09-26,Panamax,426
2012-09-26,Supramax,847
2012-09-27,Capesize,1548
2012-09-27,Handysize,476
2012-09-27,Panamax,418
2012-09-27,Supramax,847
2012-09-28,Capesize,1621
2012-09-28,Handysize,472
2012-09-28,Panamax,425
2012-09-28,Supramax,844
2012-10-01,Capesize,1660
2012-10-01,Handysize,467
2012-10-01,Panamax,439
2012-10-01,Supramax,836
2012-10-02,Capesize,1676
2012-10-02,Handysize,454
2012-10-02,Panamax,463
2012-10-02,Supramax,830
2012-10-03,Capesize,1738
2012-10-03,Handysize,448
2012-10-03,Panamax,496
2012-10-03,Supramax,825
2012-10-04,Capesize,1873
2012-10-04,Handysize,445
2012-10-04,Panamax,544
2012-10-04,Supramax,818
2012-10-05,Capesize,1932
2012-10-05,Handysize,444
2012-10-05,Panamax,598
2012-10-05,Supramax,810
2012-10-08,Capesize,1921
2012-10-08,Handysize,444
2012-10-08,Panamax,647
2012-10-08,Supramax,802
2012-10-09,Capesize,1829
2012-10-09,Handysize,442
2012-10-09,Panamax,712
2012-10-09,Supramax,795
2012-10-10,Capesize,1775
2012-10-10,Handysize,442
2012-10-10,Panamax,784
2012-10-10,Supramax,791
2012-10-11,Capesize,1833
2012-10-11,Handysize,444
2012-10-11,Panamax,843
2012-10-11,Supramax,789
2012-10-12,Capesize,1914
2012-10-12,Handysize,444
2012-10-12,Panamax,871
2012-10-12,Supramax,787
2012-10-15,Capesize,1960
2012-10-15,Handysize,444
2012-10-15,Panamax,885
2012-10-15,Supramax,783
2012-10-16,Capesize,2103
2012-10-16,Handysize,443
2012-10-16,Panamax,904
2012-10-16,Supramax,776
2012-10-17,Capesize,2162
2012-10-17,Handysize,443
2012-10-17,Panamax,904
2012-10-17,Supramax,768
2012-10-18,Capesize,2135
2012-10-18,Handysize,444
2012-10-18,Panamax,895
2012-10-18,Supramax,754
2012-10-19,Capesize,2217
2012-10-19,Handysize,445
2012-10-19,Panamax,879
2012-10-19,Supramax,746
2012-10-22,Capesize,2332
2012-10-22,Handysize,445
2012-10-22,Panamax,861
2012-10-22,Supramax,740
2012-10-23,Capesize,2587
2012-10-23,Handysize,442
2012-10-23,Panamax,843
2012-10-23,Supramax,732
2012-10-24,Capesize,2530
2012-10-24,Handysize,440
2012-10-24,Panamax,825
2012-10-24,Supramax,721
2012-10-25,Capesize,2432
2012-10-25,Handysize,437
2012-10-25,Panamax,811
2012-10-25,Supramax,716
2012-10-26,Capesize,2451
2012-10-26,Handysize,434
2012-10-26,Panamax,804
2012-10-26,Supramax,712
2012-10-29,Capesize,2460
2012-10-29,Handysize,432
2012-10-29,Panamax,799
2012-10-29,Supramax,706
2012-10-30,Capesize,2458
2012-10-30,Handysize,430
2012-10-30,Panamax,792
2012-10-30,Supramax,699
