vessel_type,horizon_days,model,evaluation_points,mae,rmse,r2,mape
HSI,7,Naive,30,17.4,25.691762622807076,0.9325496638099301,3.898670281999639
HSI,7,XGBoost,30,14.58673807779948,20.013776795187574,0.9590688052871601,3.1229028139740764
HSI,7,RandomForest,30,18.124015719356855,23.434044941576676,0.9438834666639434,3.775140068739772
HSI,7,LightGBM,30,17.965651377156462,23.34430185479055,0.9443124517459391,3.7643261049571275
HSI,30,Naive,30,53.53333333333333,79.42879410725895,0.39771653651049943,12.27669600034553
HSI,30,XGBoost,30,54.147824096679685,73.66172435393884,0.48200118872012054,12.473580237861603
HSI,30,RandomForest,30,65.19734526818327,90.11398567658874,0.22477209299577305,15.19823810541025
HSI,30,LightGBM,30,59.4981219750069,81.06102481389435,0.37270882032605224,13.778107333686926
HSI,60,Naive,30,79.4,106.09178416195415,-0.06496204110996184,17.688848301087106
HSI,60,XGBoost,30,56.31876220703125,79.31388153554325,0.40479162861623263,13.381733626610268
HSI,60,RandomForest,30,67.69991792347749,94.63562442267721,0.1526166503890174,16.09896174165928
HSI,60,LightGBM,30,65.64164805310952,91.53569584473145,0.20722198700344263,15.62766976108762
HSI,90,Naive,30,94.1,131.19311465672783,-0.428201184937683,22.048709033541428
HSI,90,XGBoost,30,77.25760803222656,117.56712562482895,-0.14693578774715066,18.900820155251225
HSI,90,RandomForest,30,98.51452741154884,132.54300125490468,-0.4577427972985686,23.36826568020912
HSI,90,LightGBM,30,79.60585604887432,117.69139382972222,-0.14936168659306448,19.274924836540233
SI,7,Naive,30,37.4,53.137557339418606,0.915851352887089,4.951715927232083
SI,7,XGBoost,30,33.13589274088542,43.627136142327075,0.9432772373087271,4.150798366517765
SI,7,RandomForest,30,36.41115855181153,49.433230431208905,0.92717475583705,4.614677735696552
SI,7,LightGBM,30,34.356951511784686,46.807937540049274,0.9347045414693503,4.299938840733461
SI,30,Naive,30,105.76666666666667,153.18627005490188,0.292977885780106,14.152621484459003
SI,30,XGBoost,30,108.3480000813802,159.2264888172163,0.23612208971270798,14.743233160866161
SI,30,RandomForest,30,125.27589374283734,178.32719845589185,0.041861065728205804,16.602156283633626
SI,30,LightGBM,30,117.11529993695271,170.78347713660142,0.12121017945886436,15.738808854752135
SI,60,Naive,30,133.6,181.05652892582103,0.058854828584115504,17.67930974956693
SI,60,XGBoost,30,154.9151875813802,199.65059271746347,-0.14437785677800385,19.93961371805574
SI,60,RandomForest,30,140.06530020558884,193.2243882452336,-0.07189469137326321,18.595700198034944
SI,60,LightGBM,30,141.19469586526023,190.9351537631849,-0.04664650763785616,18.57436868542323
SI,90,Naive,30,153.73333333333332,215.13809518539483,-0.23065300302546654,21.34002417947494
SI,90,XGBoost,30,182.68494669596353,229.1479714858813,-0.3961529929950809,24.374473721010897
SI,90,RandomForest,30,197.54318133576726,250.37660513587844,-0.6668191087078303,24.90233521293814
SI,90,LightGBM,30,183.3664142446539,227.70975322292887,-0.3786824360796768,23.737614996428817
PI,7,Naive,30,76.73333333333333,99.20147848360594,0.8949859553479377,6.797532040796778
PI,7,XGBoost,30,71.37491658528646,89.46074068314078,0.9145964201762344,5.955214873632527
PI,7,RandomForest,30,86.69199317360678,107.4381022184072,0.8768235303025045,7.378554948105491
PI,7,LightGBM,30,74.3397854787034,92.92638904882737,0.9078512986182357,6.2201363545336275
PI,30,Naive,30,195.93333333333334,255.09279357389408,0.25112900118156856,19.516762386024176
PI,30,XGBoost,30,169.4640889485677,226.2244787689695,0.4110345417502608,17.541918655981334
PI,30,RandomForest,30,164.03897587030934,226.14247249969023,0.41146146377099824,16.920355475234032
PI,30,LightGBM,30,156.03424381158953,222.94078631360827,0.42800834921114095,16.64642716955561
PI,60,Naive,30,285.26666666666665,350.7065249844472,-0.5585742452607727,27.091478054881346
PI,60,XGBoost,30,252.74878946940103,305.60874118383975,-0.18350840685547376,23.930273325251466
PI,60,RandomForest,30,241.50598625859678,314.0458454654758,-0.24975795016981883,23.482186865434038
PI,60,LightGBM,30,249.80401713019018,314.5877646063966,-0.25407484920146617,23.80478613973591
PI,90,Naive,30,334.1333333333333,418.6585721085859,-0.9241582031231896,33.641012611569835
PI,90,XGBoost,30,280.0705525716146,364.6378100697104,-0.4596347693370506,29.256007592738335
PI,90,RandomForest,30,316.8387998009533,415.5047199747295,-0.8952771381737343,33.62747718129144
PI,90,LightGBM,30,289.2392725595909,381.9075907626577,-0.6011697688197837,30.44080711880796
CI,7,Naive,30,258.4,357.44939035710587,0.8524068936090755,21.8128413471579
CI,7,XGBoost,30,291.4475565592448,371.8815883278211,0.8402479991022862,29.417512528247403
CI,7,RandomForest,30,284.60101562989763,393.14140235727655,0.821460416625601,24.38526654103367
CI,7,LightGBM,30,298.4250085974024,383.0055755942005,0.8305478261930477,25.856478805723178
CI,30,Naive,30,735.0333333333333,879.0453344395839,0.15194006375413638,57.858317710049015
CI,30,XGBoost,30,753.7817626953125,896.2988796214546,0.11832260234550973,84.52420714125651
CI,30,RandomForest,30,790.7606129165246,946.5169861816601,0.016757086877672855,92.4856277850754
CI,30,LightGBM,30,805.5836972872298,948.4853116984109,0.012663437297737445,86.31992087459452
CI,60,Naive,30,896.2,1043.739399147763,-0.2482233936306404,100.99775974298709
CI,60,XGBoost,30,985.9099609375,1162.9072133645373,-0.5495239432961008,114.79584751068903
CI,60,RandomForest,30,919.257193458359,1116.6742744209648,-0.4287662563751429,84.88901791020983
CI,60,LightGBM,30,993.4112663288267,1172.7006287177767,-0.575732449075606,107.18746503900402
CI,90,Naive,30,1069.8,1239.2640020054914,-0.8960505136008277,158.8503814247602
CI,90,XGBoost,30,826.994873046875,1031.1037455161193,-0.3125835683409848,151.87661324249746
CI,90,RandomForest,30,873.8285491401637,1093.2105015770126,-0.47546809946028556,163.37202402270324
CI,90,LightGBM,30,832.9659952095133,1037.8570067282767,-0.329833526058519,152.04259034410546
