Date,HSI,SI,PI,CI,DTI,day_of_week,month,quarter,year,HSI_lag_1,HSI_lag_2,HSI_lag_3,HSI_lag_7,HSI_lag_14,HSI_lag_30,SI_lag_1,SI_lag_2,SI_lag_3,SI_lag_7,SI_lag_14,SI_lag_30,PI_lag_1,PI_lag_2,PI_lag_3,PI_lag_7,PI_lag_14,PI_lag_30,CI_lag_1,CI_lag_2,CI_lag_3,CI_lag_7,CI_lag_14,CI_lag_30,HSI_rolling_mean_7,HSI_rolling_std_7,HSI_rolling_mean_14,HSI_rolling_std_14,HSI_rolling_mean_30,HSI_rolling_std_30,SI_rolling_mean_7,SI_rolling_std_7,SI_rolling_mean_14,SI_rolling_std_14,SI_rolling_mean_30,SI_rolling_std_30,PI_rolling_mean_7,PI_rolling_std_7,PI_rolling_mean_14,PI_rolling_std_14,PI_rolling_mean_30,PI_rolling_std_30,CI_rolling_mean_7,CI_rolling_std_7,CI_rolling_mean_14,CI_rolling_std_14,CI_rolling_mean_30,CI_rolling_std_30,HSI_pct_change_1,HSI_pct_change_7,SI_pct_change_1,SI_pct_change_7,PI_pct_change_1,PI_pct_change_7,CI_pct_change_1,CI_pct_change_7,HSI_target,SI_target,PI_target,CI_target
2012-09-13,475,821,527,1198,634,3,9,3,2012,471.0,466.0,461.0,456.0,477.0,570.0,827.0,832.0,837.0,857.0,833.0,1047.0,545.0,566.0,582.0,686.0,840.0,954.0,1186.0,1187.0,1188.0,1186.0,1103.0,1181.0,463.2857142857143,7.587583842795088,463.64285714285717,7.023117244087186,492.0,33.386968343538086,837.5714285714286,11.631238725332018,844.3571428571429,12.270083335287078,884.1333333333333,65.17072186577143,583.2857142857143,41.588116434521396,671.7142857142857,102.35115163865176,761.0,112.98886121481485,1188.4285714285713,4.314979445967281,1179.2142857142858,17.476043256760132,1163.0333333333333,41.98479472982741,0.00849256900212314,0.04166666666666674,-0.00725513905683195,-0.04200700116686118,-0.03302752293577982,-0.23177842565597673,0.010118043844856706,0.010118043844856706,477.0,825.0,502.0,1204.0
2012-09-14,477,825,502,1204,633,4,9,3,2012,475.0,471.0,466.0,455.0,474.0,558.0,821.0,827.0,832.0,852.0,833.0,1032.0,527.0,545.0,566.0,647.0,828.0,931.0,1198.0,1186.0,1187.0,1188.0,1124.0,1178.0,466.42857142857144,8.121107126026413,463.85714285714283,7.399138649009875,489.3,31.059620087824648,833.7142857142857,10.467637200981713,843.7857142857143,13.004014595667755,877.2333333333333,59.70426157800382,562.5714285714286,40.66471501952179,648.4285714285714,101.13640011673085,746.7,117.77744939591322,1190.7142857142858,7.273565968961689,1184.9285714285713,9.110132023993005,1163.9,42.568686888936,0.004210526315789442,0.0483516483516484,0.004872107186357999,-0.03169014084507038,-0.04743833017077803,-0.22411128284389492,0.005008347245408995,0.013468013468013407,479.0,828.0,483.0,1219.0
2012-09-17,479,828,483,1219,634,0,9,3,2012,477.0,475.0,471.0,457.0,472.0,552.0,825.0,821.0,827.0,849.0,845.0,1023.0,502.0,527.0,545.0,617.0,812.0,910.0,1204.0,1198.0,1186.0,1186.0,1182.0,1200.0,469.57142857142856,8.121107126026372,464.35714285714283,8.186359600976637,486.8666666666667,28.751891492001292,830.7142857142857,8.097618697578644,842.5714285714286,13.65911521919969,870.7333333333333,53.589070767714546,543.4285714285714,42.280244176434415,624.9285714285714,98.39126312503925,732.4666666666667,123.04575356859891,1195.4285714285713,12.514753198490556,1187.5714285714287,12.810538244350806,1164.5333333333333,43.26002641073474,0.004192872117400492,0.04814004376367609,0.0036363636363636598,-0.02473498233215543,-0.03784860557768921,-0.21717990275526744,0.012458471760797396,0.027824620573355885,480.0,834.0,474.0,1326.0
2012-09-18,480,834,474,1326,635,1,9,3,2012,479.0,477.0,475.0,458.0,466.0,544.0,828.0,825.0,821.0,845.0,853.0,1010.0,483.0,502.0,527.0,599.0,788.0,890.0,1219.0,1204.0,1198.0,1186.0,1177.0,1214.0,472.7142857142857,7.087883692479008,465.35714285714283,9.195376286752145,484.73333333333335,26.665143634667924,829.1428571428571,5.52052447473395,841.2142857142857,13.486053031690552,864.8666666666667,47.052233142308474,525.5714285714286,41.28299546163745,602.5,94.05215410774886,718.6,128.020364759297,1215.4285714285713,50.1659151976634,1198.2142857142858,38.827386392416976,1168.2666666666667,51.68801190520525,0.0020876826722338038,0.048034934497816595,0.007246376811594235,-0.013017751479289963,-0.018633540372670843,-0.20868113522537568,0.08777686628383918,0.11804384485666097,480.0,839.0,468.0,1421.0
2012-09-19,480,839,468,1421,637,2,9,3,2012,480.0,479.0,477.0,461.0,463.0,539.0,834.0,828.0,825.0,837.0,857.0,995.0,474.0,483.0,502.0,582.0,758.0,868.0,1326.0,1219.0,1204.0,1188.0,1169.0,1237.0,475.42857142857144,5.255382728123755,466.57142857142856,9.951530888912789,482.76666666666665,24.622226198873765,829.4285714285714,6.023762469226404,839.9285714285714,12.700480219351583,859.6666666666666,40.312001578492215,509.2857142857143,37.637367450065994,581.7857142857143,88.96773708349724,705.2666666666667,132.66939291370846,1248.7142857142858,90.23250391020365,1216.2142857142858,70.0781745584937,1174.4,68.35485503529759,0.0,0.04121475054229928,0.005995203836930418,0.002389486260454099,-0.012658227848101222,-0.19587628865979378,0.0716440422322775,0.19612794612794615,482.0,843.0,468.0,1531.0
2012-09-20,482,843,468,1531,642,3,9,3,2012,480.0,480.0,479.0,466.0,459.0,538.0,839.0,834.0,828.0,832.0,858.0,982.0,468.0,474.0,483.0,566.0,735.0,840.0,1421.0,1326.0,1219.0,1187.0,1172.0,1204.0,477.7142857142857,3.728908942944979,468.2142857142857,10.48939810129688,480.9,22.30408962036118,831.0,7.937253933190438,838.8571428571429,11.647760714844388,855.0333333333333,33.11160160607654,495.2857142857143,30.592560564696395,562.7142857142857,81.93752645618666,692.8666666666667,136.95751501666578,1297.857142857143,134.05400475359332,1241.857142857143,108.04974434373962,1185.3,94.36216000802071,0.004166666666666652,0.03433476394849788,0.004767580452920139,0.013221153846153744,0.0,-0.17314487632508835,0.07741027445460946,0.2898062342038754,484.0,845.0,467.0,1584.0
2012-09-21,484,845,467,1584,643,4,9,3,2012,482.0,480.0,480.0,471.0,458.0,535.0,843.0,839.0,834.0,827.0,855.0,966.0,468.0,468.0,474.0,545.0,714.0,823.0,1531.0,1421.0,1326.0,1186.0,1180.0,1192.0,479.57142857142856,2.9920529661744824,470.07142857142856,10.837713963565461,479.2,19.84665350058829,833.5714285714286,9.235026490793773,838.1428571428571,10.861768823629246,851.0,25.659575076439566,484.14285714285717,22.637936974822658,545.0714285714286,72.95674618009537,681.0,140.6659040127498,1354.7142857142858,160.4989244883126,1270.7142857142858,139.60076513534568,1198.3666666666666,119.19514087912893,0.004149377593360981,0.027600849256900206,0.0023724792408066353,0.021765417170495738,-0.002136752136752129,-0.14311926605504588,0.034617896799477466,0.33558178752107937,486.0,850.0,461.0,1578.0
2012-09-24,486,850,461,1578,642,0,9,3,2012,484.0,482.0,480.0,475.0,456.0,531.0,845.0,843.0,839.0,821.0,857.0,946.0,467.0,468.0,468.0,527.0,686.0,814.0,1584.0,1531.0,1421.0,1198.0,1186.0,1169.0,481.14285714285717,3.078342163600813,472.2142857142857,10.807252347230586,477.7,17.338714902862844,837.7142857142857,9.159954252326413,837.6428571428571,10.05834626915736,847.8,18.34797743245992,474.7142857142857,13.852969425527947,529.0,63.72175090549207,669.2333333333333,143.8842167024999,1409.0,162.9048802215587,1298.7142857142858,159.23394911089454,1212.0,137.6777847504567,0.004132231404958775,0.023157894736842044,0.00591715976331364,0.035322777101096214,-0.012847965738758016,-0.1252371916508539,-0.0037878787878787845,0.317195325542571,483.0,847.0,441.0,1568.0
2012-09-25,483,847,441,1568,640,1,9,3,2012,486.0,484.0,482.0,477.0,455.0,523.0,850.0,845.0,843.0,825.0,852.0,906.0,461.0,467.0,468.0,502.0,647.0,804.0,1578.0,1584.0,1531.0,1204.0,1188.0,1158.0,482.0,2.5166114784259266,474.2142857142857,9.93191105190108,476.3666666666667,15.132707972293389,840.8571428571429,7.7336617335823945,837.2857142857143,9.587079216947666,845.8333333333334,14.692440780617204,466.0,12.987173159179578,514.2857142857143,57.89570008137155,657.1333333333333,147.38098256894784,1461.0,143.50145179289004,1325.857142857143,170.8719075541947,1225.6666666666667,151.76168553163308,-0.006172839506172867,0.012578616352201255,-0.003529411764705892,0.026666666666666616,-0.04338394793926248,-0.12151394422310757,-0.006337135614702172,0.30232558139534893,479.0,847.0,426.0,1549.0
2012-09-26,479,847,426,1549,638,2,9,3,2012,483.0,486.0,484.0,479.0,457.0,512.0,847.0,850.0,845.0,828.0,849.0,886.0,441.0,461.0,467.0,483.0,617.0,803.0,1568.0,1578.0,1584.0,1219.0,1186.0,1147.0,482.0,2.5166114784259266,475.7857142857143,8.657398538277366,475.26666666666665,13.572114752335898,843.5714285714286,5.472876844250714,837.1428571428571,9.412407056292693,844.5333333333333,12.591002078203406,457.85714285714283,17.601406870172884,500.64285714285717,54.21695327089172,644.5666666666667,150.55316012288986,1508.142857142857,97.62074330699429,1351.7857142857142,175.49585950471095,1239.0666666666666,161.97976317478953,-0.008281573498964856,0.0,0.0,0.022946859903381744,-0.03401360544217691,-0.11801242236024845,-0.01211734693877553,0.2707136997538966,476.0,847.0,418.0,1548.0
