vessel_type,horizon_days,baseline_mae,baseline_rmse,baseline_r2,xgb_mae,xgb_rmse,xgb_r2,xgb_mape,improvement_percent
HSI,7,17.021875,23.60978345940513,0.9422865775864171,20.142411994934083,24.860959594050055,0.9360075708298187,3.9867927710225364,-18.332510342920983
HSI,30,54.003125,74.38411708826018,0.46751212227384165,54.83260526657104,73.34184505240742,0.48233004117201717,12.223065250009144,-1.5359856796639944
HSI,60,76.95625,104.6674794289038,0.0038550715529409585,57.144832611083984,79.80287520565805,0.4209233220571259,13.30224313164488,25.74374061744954
HSI,90,88.93125,122.67472233512493,-0.4089296498935808,65.89889736175537,97.4368730775637,0.11115544199503924,15.446350700180691,25.89905420000802
SI,7,35.975,51.47687587645544,0.9164879240138009,51.350256252288816,61.79409441585102,0.8796575468065363,5.891761385007642,-42.7387248152573
SI,30,102.1,146.2729682819078,0.2753073245370108,122.91125764846802,162.3135377440887,0.10765003672982087,15.387710225426215,-20.383210233563204
SI,60,131.3625,177.31259473032364,0.06987656167845457,129.65882053375245,162.439584399353,0.2193701438396214,16.248093165096584,1.2969298439414323
SI,90,156.671875,208.85092620096276,-0.28808188026132675,160.10924282073975,204.56334714488852,-0.23573771633348217,20.5679155205896,-2.19399162787817
PI,7,77.034375,100.07033464019194,0.8788765295145323,103.69946870803832,131.7488137213881,0.7900523447396334,8.056033984395551,-34.61453890946519
PI,30,187.50625,236.03864884802235,0.25729703230044654,191.55407962799072,230.73240091008452,0.29031424218207535,16.33584587619223,-2.1587705092447442
PI,60,264.603125,337.09038569054445,-0.5438916612947533,163.83140754699707,233.73461511724668,0.2577158993666878,16.61258394120063,38.08409951810014
PI,90,346.5625,439.0484455045935,-0.8705752030501444,326.3553678512573,443.3774739712172,-0.9076448955098768,30.762332858928055,5.830732450493832
CI,7,265.971875,356.30071130296665,0.8369136921794089,302.8097663879395,380.13861001768396,0.8143614845528685,37.16553205605867,-13.850295783318995
CI,30,676.39375,806.9125843299261,0.17720159206175234,816.0510896682739,956.962490606277,-0.15725827842294526,92.12326238640104,-20.647343306805237
CI,60,909.4625,1047.623507038669,-0.44863257543703194,907.6679183959961,1054.832105033915,-0.46863697036105156,110.70346288863755,0.19732332053315427
CI,90,1122.7375,1375.3292696659953,-1.1467843013268495,864.6821132659912,1022.3870049331261,-0.18633045844249585,90.23183793812427,22.984480943587325
